,Sr. No.,Institute Code,Institute Name,CAP-I,CAP-II,CAP-III
88,"('89.', None)","('3210', None)","(""Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3210.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3210.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3210.pdf')"
89,"('90.', None)","('3211', None)","('S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3211.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3211.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3211.pdf')"
90,"('91.', None)","('3212', None)","('WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3212.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3212.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3212.pdf')"
91,"('92.', None)","('3214', None)","('Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3214.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3214.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3214.pdf')"
92,"('93.', None)","('3215', None)","(""Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3215.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3215.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3215.pdf')"
93,"('94.', None)","('3216', None)","(""Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3216.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3216.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3216.pdf')"
94,"('95.', None)","('3217', None)","(""Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3217.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3217.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3217.pdf')"
95,"('96.', None)","('3218', None)","(""Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3218.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3218.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3218.pdf')"
96,"('97.', None)","('3219', None)","(""Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3219.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3219.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3219.pdf')"
97,"('98.', None)","('3220', None)","('Yadavrao Tasgaonkar College of Engineering & Management', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3220.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3220.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3220.pdf')"
98,"('99.', None)","('3221', None)","('Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3221.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3221.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3221.pdf')"
99,"('100.', None)","('3222', None)","(""Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_3222.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_3222.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_3222.pdf')"
