,Sr. No.,Institute Code,Institute Name,CAP-I,CAP-II,CAP-III
213,"('214.', None)","('6141', None)","(""Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6141.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6141.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6141.pdf')"
214,"('215.', None)","('6144', None)","('Genba Sopanrao Moze College of Engineering, Baner-Balewadi, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6144.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6144.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6144.pdf')"
215,"('216.', None)","('6145', None)","(""JSPM'S Jaywantrao Sawant College of Engineering,Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6145.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6145.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6145.pdf')"
216,"('217.', None)","('6146', None)","('MIT Academy of Engineering,Alandi, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6146.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6146.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6146.pdf')"
217,"('218.', None)","('6149', None)","('Siddhant College of Engineering, A/p Sudumbare, Tal.Maval, Dist-Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6149.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6149.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6149.pdf')"
218,"('219.', None)","('6155', None)","('G.H.Raisoni College of Engineering & Management, Wagholi, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6155.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6155.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6155.pdf')"
219,"('220.', None)","('6156', None)","(""Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6156.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6156.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6156.pdf')"
220,"('221.', None)","('6160', None)","(""JSPM's Imperial College of Engineering and Research, Wagholi, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6160.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6160.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6160.pdf')"
221,"('222.', None)","('6175', None)","('Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6175.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6175.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6175.pdf')"
222,"('223.', None)","('6177', None)","('Sinhgad College of Engineering, Vadgaon (BK), Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6177.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6177.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6177.pdf')"
223,"('224.', None)","('6178', None)","(""Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6178.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6178.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6178.pdf')"
224,"('225.', None)","('6179', None)","('Indira College of Engineering & Management, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6179.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6179.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6179.pdf')"
225,"('226.', None)","('6182', None)","('Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6182.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6182.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6182.pdf')"
226,"('227.', None)","('6183', None)","('Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6183.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6183.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6183.pdf')"
227,"('228.', None)","('6184', None)","(""K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6184.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6184.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6184.pdf')"
228,"('229.', None)","('6185', None)","('Sinhagad Institute of Technology, Lonavala', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6185.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6185.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6185.pdf')"
229,"('230.', None)","('6187', None)","('Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6187.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6187.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6187.pdf')"
230,"('231.', None)","('6203', None)","(""Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6203.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6203.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6203.pdf')"
231,"('232.', None)","('6206', None)","(""Pune District Education Association's College of Engineering, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6206.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6206.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6206.pdf')"
232,"('233.', None)","('6207', None)","(""Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil Institute of Technology, Pimpri, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6207.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6207.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6207.pdf')"
233,"('234.', None)","('6214', None)","(""K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6214.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6214.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6214.pdf')"
234,"('235.', None)","('6217', None)","(""Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6217.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6217.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6217.pdf')"
235,"('236.', None)","('6219', None)","(""KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6219.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6219.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6219.pdf')"
236,"('237.', None)","('6220', None)","(""Shri Vithal Education and Research Institute's College of Engineering, Pandharpur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6220.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6220.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6220.pdf')"
237,"('238.', None)","('6222', None)","(""Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji."", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6222.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6222.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6222.pdf')"
238,"('239.', None)","('6223', None)","(""Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6223.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6223.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6223.pdf')"
239,"('240.', None)","('6250', None)","('D.Y. Patil College of Engineering and Technology, Kolhapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6250.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6250.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6250.pdf')"
240,"('241.', None)","('6265', None)","('Walchand Institute of Technology, Solapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6265.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6265.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6265.pdf')"
241,"('242.', None)","('6267', None)","(""Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6267.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6267.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6267.pdf')"
242,"('243.', None)","('6268', None)","('Tatyasaheb Kore Institute of Engineering and Technology, Warananagar', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6268.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6268.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6268.pdf')"
243,"('244.', None)","('6269', None)","(""Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6269.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6269.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6269.pdf')"
244,"('245.', None)","('6270', None)","(""Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6270.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6270.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6270.pdf')"
245,"('246.', None)","('6271', None)","('Pune Institute of Computer Technology, Dhankavdi, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6271.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6271.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6271.pdf')"
246,"('247.', None)","('6272', None)","(""Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6272.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6272.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6272.pdf')"
247,"('248.', None)","('6273', None)","(""Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6273.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6273.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6273.pdf')"
248,"('249.', None)","('6274', None)","(""Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of Management, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6274.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6274.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6274.pdf')"
249,"('250.', None)","('6275', None)","(""Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6275.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6275.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6275.pdf')"
250,"('251.', None)","('6276', None)","(""MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6276.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6276.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6276.pdf')"
251,"('252.', None)","('6277', None)","(""Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6277.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6277.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6277.pdf')"
252,"('253.', None)","('6278', None)","(""All India Shri Shivaji Memorial Society's College of Engineering, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6278.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6278.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6278.pdf')"
253,"('254.', None)","('6281', None)","(""Modern Education Society's College of Engineering, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6281.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6281.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6281.pdf')"
254,"('255.', None)","('6282', None)","(""All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6282.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6282.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6282.pdf')"
255,"('256.', None)","('6283', None)","('Annasaheb Dange College of Engineering and Technology, Ashta, Sangli', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6283.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6283.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6283.pdf')"
256,"('257.', None)","('6284', None)","(""Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6284.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6284.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6284.pdf')"
257,"('258.', None)","('6285', None)","(""Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6285.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6285.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6285.pdf')"
258,"('259.', None)","('6288', None)","(""Bharati Vidyapeeth's College of Engineering, Kolhapur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6288.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6288.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6288.pdf')"
259,"('260.', None)","('6289', None)","(""B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6289.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6289.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6289.pdf')"
260,"('261.', None)","('6293', None)","(""Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6293.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6293.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6293.pdf')"
261,"('262.', None)","('6298', None)","(""Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6298.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6298.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6298.pdf')"
262,"('263.', None)","('6303', None)","(""Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6303.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6303.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6303.pdf')"
263,"('264.', None)","('6304', None)","(""Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6304.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6304.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6304.pdf')"
264,"('265.', None)","('6305', None)","(""S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6305.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6305.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6305.pdf')"
265,"('266.', None)","('6307', None)","('Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6307.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6307.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6307.pdf')"
266,"('267.', None)","('6308', None)","('Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6308.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6308.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6308.pdf')"
267,"('268.', None)","('6310', None)","('Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6310.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6310.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6310.pdf')"
268,"('269.', None)","('6311', None)","('Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6311.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6311.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6311.pdf')"
269,"('270.', None)","('6313', None)","('Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6313.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6313.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6313.pdf')"
270,"('271.', None)","('6315', None)","(""Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6315.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6315.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6315.pdf')"
271,"('272.', None)","('6317', None)","('Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6317.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6317.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6317.pdf')"
272,"('273.', None)","('6318', None)","(""Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6318.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6318.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6318.pdf')"
273,"('274.', None)","('6319', None)","('Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6319.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6319.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6319.pdf')"
274,"('275.', None)","('6320', None)","(""K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6320.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6320.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6320.pdf')"
275,"('276.', None)","('6321', None)","('Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6321.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6321.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6321.pdf')"
276,"('277.', None)","('6322', None)","(""Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6322.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6322.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6322.pdf')"
277,"('278.', None)","('6324', None)","(""Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6324.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6324.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6324.pdf')"
278,"('279.', None)","('6325', None)","(""Alard Charitable Trust's Alard College of Engineering and Management, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6325.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6325.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6325.pdf')"
279,"('280.', None)","('6326', None)","('Karmayogi Institute of Technology', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6326.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6326.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6326.pdf')"
280,"('281.', None)","('6419', None)","('Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6419.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6419.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6419.pdf')"
281,"('282.', None)","('6466', None)","('Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6466.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6466.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6466.pdf')"
282,"('283.', None)","('6545', None)","(""Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara."", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6545.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6545.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6545.pdf')"
283,"('284.', None)","('6609', None)","('Jaihind College Of Engineering,Kuran', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6609.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6609.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6609.pdf')"
284,"('285.', None)","('6622', None)","('ISBM College Of Engineering Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6622.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6622.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6622.pdf')"
285,"('286.', None)","('6625', None)","('Universal College of Engineering & Research, Sasewadi', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6625.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6625.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6625.pdf')"
286,"('287.', None)","('6628', None)","('Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6628.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6628.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6628.pdf')"
287,"('288.', None)","('6632', None)","(""Navsahyadri Education Society's Group of Institutions"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6632.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6632.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6632.pdf')"
288,"('289.', None)","('6634', None)","(""KJEI's Trinity Academy of Engineering, Yewalewadi, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6634.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6634.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6634.pdf')"
289,"('290.', None)","('6635', None)","('Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6635.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6635.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6635.pdf')"
290,"('291.', None)","('6640', None)","('N. B. Navale Sinhgad College of Engineering, Kegaon, solapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6640.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6640.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6640.pdf')"
291,"('292.', None)","('6643', None)","('S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6643.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6643.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6643.pdf')"
